totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
500, 401, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.100000, 27.098130, 21.492248, 2.327464, 3.264755, 4.496787, 6.511577, 4.647512, 35.516614, 14.024366, 21.315408, magenta 
500, 402, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.200000, 27.152778, 21.437600, 2.348833, 3.282794, 4.479919, 6.518814, 4.637355, 35.427295, 13.989696, 21.261253, pink 
500, 403, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.300000, 27.207364, 21.383014, 2.370281, 3.300922, 4.462960, 6.526028, 4.627198, 35.338071, 13.955057, 21.207161, violet 
500, 404, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.400000, 27.261887, 21.328491, 2.391808, 3.319138, 4.445908, 6.533218, 4.617041, 35.248943, 13.920451, 21.153130, white 
500, 405, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.500000, 27.316346, 21.274032, 2.413416, 3.337442, 4.428763, 6.540384, 4.606883, 35.159910, 13.885878, 21.099162, orange 
500, 406, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.600000, 27.370742, 21.219636, 2.435104, 3.355836, 4.411526, 6.547527, 4.596726, 35.070973, 13.851337, 21.045256, yellow 
500, 407, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.700000, 27.425074, 21.165304, 2.456873, 3.374318, 4.394195, 6.554647, 4.586568, 34.982133, 13.816829, 20.991413, green 
500, 408, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.800000, 27.479343, 21.111035, 2.478723, 3.392891, 4.376771, 6.561743, 4.576410, 34.893389, 13.782354, 20.937633, lime 
500, 409, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 43.900000, 27.533547, 21.056831, 2.500654, 3.411553, 4.359253, 6.568816, 4.566252, 34.804743, 13.747912, 20.883916, brown 
500, 410, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 44.000000, 27.587687, 21.002691, 2.522668, 3.430306, 4.341640, 6.575865, 4.556095, 34.716194, 13.713504, 20.830263, olive 
500, 411, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 44.100000, 27.641763, 20.948615, 2.544763, 3.449150, 4.323933, 6.582890, 4.545938, 34.627744, 13.679129, 20.776673, blue 
500, 412, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 44.200000, 27.695774, 20.894604, 2.566941, 3.468084, 4.306131, 6.589893, 4.535782, 34.539392, 13.644788, 20.723147, cyan 
500, 413, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 44.300000, 27.749720, 20.840658, 2.589202, 3.487111, 4.288233, 6.596871, 4.525626, 34.451139, 13.610480, 20.669684, teal 
500, 414, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 44.400000, 27.803601, 20.786777, 2.611547, 3.506229, 4.270240, 6.603827, 4.515471, 34.362985, 13.576207, 20.616287, lightgray  
