c,d,startingangle,dk,bigf,t,x,y,yprime,tangentangle,normalangle,incidentangle,reflectangle,mycolor
-6.324555, 6.324555, 10.000000, 6.228471, 10.206148, 11.665150, 5.163375, 2.025632, -0.468187, 154.911609, 64.911609, 54.911609, 299.823218, orange 
-6.324555, 6.324555, 25.000000, 5.731994, 16.144248, 7.097757, 0.108197, 2.999642, -0.006625, 179.620416, 89.620416, 64.620416, 334.240832, yellow 
-6.324555, 6.324555, 50.000000, 4.065346, 32.472964, 3.066801, -4.353254, 2.349306, 0.340346, 198.795810, 108.795810, 58.795810, 347.591621, green 
-6.324555, 6.324555, 85.000000, 0.551221, 48.696155, 1.395613, -6.202920, 1.390302, 0.819470, 219.333607, 129.333607, 44.333607, 353.667214, blue 
-6.324555, 6.324555, 130.000000, -4.065346, 32.472964, 0.813350, -6.847367, 0.623062, 2.018545, 243.645898, 153.645898, 23.645898, 357.291796, red 
-6.324555, 6.324555, 185.000000, -6.300488, 9.303845, 0.676667, -6.998647, -0.058975, -21.796643, -87.373190, -177.373190, -362.373190, -359.746381, orange 
-6.324555, 6.324555, 250.000000, -2.163125, 44.320889, 0.982198, -6.660487, -0.922964, -1.325463, -52.967155, -142.967155, -392.967155, -355.934311, yellow 
-6.324555, 6.324555, 325.000000, 5.180772, 22.159597, 4.947155, -2.272084, -2.837571, -0.147070, -8.366510, -98.366510, -423.366510, -341.733020, green 
-6.324555, 6.324555, 410.000000, 4.065346, 32.472964, 3.066801, -4.353254, 2.349306, 0.340346, 198.795810, 108.795810, -301.204190, -12.408379, blue 
-6.324555, 6.324555, 505.000000, -5.180772, 22.159597, 0.738869, -6.929802, 0.423798, 3.003366, 251.584317, 161.584317, -343.415683, -1.831365, red 
-6.324555, 6.324555, -10.000000, 6.228471, 10.206148, 11.665150, 5.163375, -2.025632, 0.468187, 25.088391, -64.911609, -54.911609, 60.176782, orange 
-6.324555, 6.324555, -25.000000, 5.731994, 16.144248, 7.097757, 0.108197, -2.999642, 0.006625, 0.379584, -89.620416, -64.620416, 25.759168, yellow 
-6.324555, 6.324555, -50.000000, 4.065346, 32.472964, 3.066801, -4.353254, -2.349306, -0.340346, -18.795810, -108.795810, -58.795810, 12.408379, green 
-6.324555, 6.324555, -85.000000, 0.551221, 48.696155, 1.395613, -6.202920, -1.390302, -0.819470, -39.333607, -129.333607, -44.333607, 6.332786, blue 
-6.324555, 6.324555, -130.000000, -4.065346, 32.472964, 0.813350, -6.847367, -0.623062, -2.018545, -63.645898, -153.645898, -23.645898, 2.708204, red 
-6.324555, 6.324555, -185.000000, -6.300488, 9.303845, 0.676667, -6.998647, 0.058975, 21.796643, 267.373190, 177.373190, 362.373190, 719.746381, orange 
-6.324555, 6.324555, -250.000000, -2.163125, 44.320889, 0.982198, -6.660487, 0.922964, 1.325463, 232.967155, 142.967155, 392.967155, 715.934311, yellow 
-6.324555, 6.324555, -325.000000, 5.180772, 22.159597, 4.947155, -2.272084, 2.837571, 0.147070, 188.366510, 98.366510, 423.366510, 701.733020, green 
-6.324555, 6.324555, -410.000000, 4.065346, 32.472964, 3.066801, -4.353254, -2.349306, -0.340346, -18.795810, -108.795810, 301.204190, 372.408379, blue 
-6.324555, 6.324555, -505.000000, -5.180772, 22.159597, 0.738869, -6.929802, -0.423798, -3.003366, -71.584317, -161.584317, 343.415683, 361.831365, red 
